u	v
ENSG00000167967	ENSG00000120693
ENSG00000150672	ENSG00000182255
ENSG00000138207	ENSG00000118271
ENSG00000118137	ENSG00000118271
ENSG00000187742	ENSG00000120693
ENSG00000067900	ENSG00000070087
ENSG00000125753	ENSG00000070087
ENSG00000196405	ENSG00000070087
ENSG00000179218	ENSG00000084674
ENSG00000171681	ENSG00000141646
ENSG00000112290	ENSG00000108518
ENSG00000106299	ENSG00000108518
ENSG00000119729	ENSG00000108518
ENSG00000169180	ENSG00000108518
ENSG00000154380	ENSG00000108518
ENSG00000283777	ENSG00000084674
ENSG00000166794	ENSG00000084674
ENSG00000139687	ENSG00000167085
ENSG00000103479	ENSG00000167085
ENSG00000101412	ENSG00000167085
ENSG00000141510	ENSG00000167085
ENSG00000080503	ENSG00000167085
ENSG00000141027	ENSG00000167085
ENSG00000116478	ENSG00000167085
ENSG00000127616	ENSG00000167085
ENSG00000169375	ENSG00000167085
ENSG00000163453	ENSG00000254647
ENSG00000129235	ENSG00000254647
ENSG00000132383	ENSG00000132646
ENSG00000073050	ENSG00000132646
ENSG00000168496	ENSG00000132646
ENSG00000049541	ENSG00000132646
ENSG00000113387	ENSG00000132646
ENSG00000129757	ENSG00000132646
ENSG00000113318	ENSG00000132646
ENSG00000253729	ENSG00000132646
ENSG00000166035	ENSG00000084674
ENSG00000116478	ENSG00000132646
ENSG00000167670	ENSG00000132646
ENSG00000153487	ENSG00000132646
ENSG00000100393	ENSG00000132646
ENSG00000135829	ENSG00000132646
ENSG00000136273	ENSG00000132646
ENSG00000172613	ENSG00000132646
ENSG00000170734	ENSG00000132646
ENSG00000138823	ENSG00000084674
ENSG00000165392	ENSG00000132646
ENSG00000132382	ENSG00000132646
ENSG00000132781	ENSG00000132646
ENSG00000099860	ENSG00000132646
ENSG00000130222	ENSG00000132646
ENSG00000152669	ENSG00000132646
ENSG00000169188	ENSG00000132646
ENSG00000177084	ENSG00000132646
ENSG00000116062	ENSG00000132646
ENSG00000070501	ENSG00000132646
ENSG00000170624	ENSG00000128591
ENSG00000166598	ENSG00000084674
ENSG00000143384	ENSG00000132646
ENSG00000198466	ENSG00000120693
ENSG00000107447	ENSG00000132646
ENSG00000166169	ENSG00000132646
ENSG00000077514	ENSG00000132646
ENSG00000127586	ENSG00000132646
ENSG00000182492	ENSG00000084674
ENSG00000106628	ENSG00000132646
ENSG00000004142	ENSG00000132646
ENSG00000179295	ENSG00000113494
ENSG00000135605	ENSG00000113494
ENSG00000164924	ENSG00000113494
ENSG00000184557	ENSG00000113494
ENSG00000120833	ENSG00000113494
ENSG00000170027	ENSG00000113494
ENSG00000172179	ENSG00000113494
ENSG00000123131	ENSG00000117450
ENSG00000123329	ENSG00000120693
ENSG00000118137	ENSG00000084674
ENSG00000142515	ENSG00000197249
ENSG00000188488	ENSG00000142515
ENSG00000109072	ENSG00000115138
ENSG00000130164	ENSG00000084674
ENSG00000176136	ENSG00000115138
